NAME,POSITION,GP,MPG,ORPM,DRPM,RPM,WINS
Steven Adams, C,80,29.9,-0.3,1.68,1.38,7.01
Cody Zeller, C,62,27.8,-0.07,3.42,3.35,6.97
Al Horford, C,68,32.3,0.76,1.06,1.82,6.93
Jrue Holiday, PG,67,32.7,0.64,1.18,1.82,6.89
Victor Oladipo, SG,67,33.2,0.1,1.56,1.66,6.88
Eric Bledsoe, PG,66,33,2.33,-0.64,1.69,6.85
Ersan Ilyasova, PF,82,26.1,0.98,0.74,1.72,6.83
Lou Williams, SG,81,24.6,3.65,-1.68,1.97,6.73
Nicolas Batum, SG,77,34,1.3,-0.35,0.95,6.73
Andre Roberson, SG,79,30.1,-1.4,2.64,1.24,6.73
Joe Ingles, SF,82,24,2.29,0.26,2.55,6.68
Tobias Harris, SF,82,31.3,1.19,-0.25,0.94,6.55
Kristaps Porzingis, PF,66,32.8,-0.31,1.9,1.59,6.54
Ryan Anderson, PF,72,29.4,1.63,-0.12,1.51,6.46
Eric Gordon, SG,75,31,1.51,-0.48,1.03,6.36
Goran Dragic, PG,73,33.7,2.54,-1.62,0.92,6.3
George Hill, PG,49,31.5,2.64,1.11,3.75,6.28
PJ Tucker, SF,81,27.6,-0.69,1.78,1.09,5.98
Marcus Smart, PG,79,30.4,0.26,0.49,0.75,5.98
Marcus Morris, PF,79,32.5,-0.11,0.63,0.52,5.85
LaMarcus Aldridge, PF,72,32.4,-0.09,1.05,0.96,5.79
Serge Ibaka, PF,79,30.7,-0.51,1.08,0.57,5.7
Nikola Mirotic, PF,70,24,0.92,1.31,2.23,5.69
Maurice Harkless, SF,77,28.9,0.38,0.49,0.87,5.67
Thaddeus Young, PF,74,30.2,-1.09,1.94,0.85,5.66
Malcolm Brogdon, G,75,26.4,1.86,-0.42,1.44,5.66
Dwight Howard, C,74,29.7,-1.7,2.6,0.9,5.65
Mason Plumlee, C,81,26.5,0.71,0.22,0.93,5.6
Pau Gasol, C,64,25.4,0.86,1.49,2.35,5.48
DeMar DeRozan, SG,74,35.4,2.21,-2.04,0.17,5.46
Tim Hardaway Jr., SG,79,27.3,1.9,-1.08,0.82,5.45
Nikola Vucevic, C,75,28.8,-1.38,2.15,0.77,5.44
Patrick Patterson, PF,65,24.6,1.05,1.26,2.31,5.4
Solomon Hill, SF,80,29.7,-1.06,1.49,0.43,5.4
Elfrid Payton, PG,82,29.4,1.12,-0.78,0.34,5.38
Greg Monroe, C,81,22.5,1.08,0.47,1.55,5.34
Aaron Gordon, PF,80,28.7,1.25,-0.78,0.47,5.32
Michael Kidd-Gilchrist, SF,81,29,-1.97,2.47,0.5,5.31
Carmelo Anthony, SF,74,34.3,1.87,-1.75,0.12,5.26
Zaza Pachulia, C,70,18.1,-0.31,3.23,2.92,5.12
Wesley Matthews, SG,73,34.2,0.09,0.11,0.2,5.06
Marcin Gortat, C,82,31.2,-1.25,1.18,-0.07,5.01
Patty Mills, PG,80,21.9,2.53,-1.26,1.27,4.86
Al-Farouq Aminu, SF,61,29.1,-1.86,3.13,1.27,4.86
Danny Green, SG,68,26.6,-0.45,1.71,1.26,4.83
Vince Carter, SG,73,24.7,1.36,-0.06,1.3,4.81
Harrison Barnes, SF,79,35.5,-0.44,0.11,-0.33,4.78
Tyler Johnson, SG,73,29.8,0.13,0.18,0.31,4.72
DeMarre Carroll, SF,72,26.1,0,0.83,0.83,4.66
Manu Ginobili, SG,69,18.7,1.43,1,2.43,4.64
Tristan Thompson, C,78,29.9,-1.31,1.31,0,4.62
Seth Curry, SG,70,29,0.52,0.01,0.53,4.51
Dewayne Dedmon, C,76,17.5,-1.63,3.94,2.31,4.49
Ish Smith, PG,81,24.1,0.28,0.25,0.53,4.48
Luc Mbah a Moute, PF,80,22.3,-1.56,2.32,0.76,4.43
Frank Kaminsky, C,75,26.1,0.96,-0.51,0.45,4.4
Nene Hilario, C,67,17.9,-1.31,3.62,2.31,4.39
Marvin Williams, PF,76,30.2,-0.02,-0.07,-0.09,4.36
Andre Drummond, C,81,29.7,-1.8,1.55,-0.25,4.33
Taj Gibson, PF,78,25.5,-1.76,2.02,0.26,4.29
Gary Harris, SG,57,31.3,2.88,-2.37,0.51,4.29
Jameer Nelson, PG,75,27.3,0.45,-0.44,0.01,4.17
Jonas Valanciunas, C,80,25.8,-0.74,0.75,0.01,4.06
Terrence Ross, SF,78,25.1,1.36,-1.23,0.13,4.06
Lucas Nogueira, C,57,19.1,-0.61,3.34,2.73,4.03
Kentavious Caldwell-Pope, SG,76,33.3,0.71,-1.31,-0.6,4.02
David Lee, PF,79,18.7,-0.38,1.5,1.12,3.98
Jared Dudley, SF,64,21.3,-0.67,1.89,1.22,3.94
JaMychal Green, PF,77,27.3,-0.41,0.39,-0.02,3.94
JJ Redick, SG,78,28.2,1.73,-2.11,-0.38,3.86
CJ Miles, SF,76,23.4,1.3,-0.95,0.35,3.85
Nick Young, SG,60,25.9,2.28,-1.63,0.65,3.82
Larry Nance Jr., PF,63,22.9,-1.26,2.16,0.9,3.79
Tony Allen, SG,71,27,-2.03,2.15,0.12,3.76
Channing Frye, PF,74,18.9,1.62,-0.58,1.04,3.7
Marreese Speights, PF,82,15.7,0.67,0.69,1.36,3.66
Wayne Ellington, SG,62,24.2,2.26,-1.6,0.66,3.58
Tyson Chandler, C,47,27.6,-1.06,2.2,1.14,3.55
Thabo Sefolosha, SF,62,25.7,-1.93,2.27,0.34,3.55
Kelly Olynyk, C,75,20.5,-0.31,0.81,0.5,3.54
Darren Collison, PG,68,30.3,1.06,-1.47,-0.41,3.44
Courtney Lee, SG,77,31.9,0.58,-1.51,-0.93,3.4
Jusuf Nurkic, C,65,21.4,-2.11,2.73,0.62,3.32
Trevor Booker, PF,71,24.7,-2.29,2,-0.29,3.3
Tony Snell, SF,80,29.2,-0.02,-0.85,-0.87,3.29
Rondae Hollis-Jefferson, SG,78,22.6,-2.16,1.78,-0.38,3.29
Devin Booker, SG,78,35,1.28,-2.58,-1.3,3.29
Nemanja Bjelica, PF,65,18.3,-0.71,1.94,1.23,3.24
Rudy Gay, SF,30,33.8,-0.21,1.96,1.75,3.1
Jerian Grant, PG,63,16.3,0.5,1.07,1.57,3.03
Dirk Nowitzki, PF,54,26.4,-0.38,0.64,0.26,3.02
Deron Williams, PG,64,25.9,0.69,-0.91,-0.22,2.95
Nerlens Noel, PF,51,20.5,-1.33,2.58,1.25,2.95
Andrew Wiggins, SG,82,37.2,1.56,-3.16,-1.6,2.94
Evan Fournier, SG,68,32.9,0.07,-1.17,-1.1,2.89
Justin Holiday, SG,82,20,-0.58,0.25,-0.33,2.87
T.J. McConnell, PG,81,26.3,-1.32,0.23,-1.09,2.86
Kyle Anderson, SF,72,14.2,-1.81,3.11,1.3,2.84
Clint Capela, C,65,23.9,-1.47,1.12,-0.35,2.82
Jason Terry, SG,74,18.4,-0.41,0.61,0.2,2.81
David West, PF,68,12.6,-1.47,3.54,2.07,2.81
Dion Waiters, SG,46,30.1,0.12,-0.07,0.05,2.8
Kosta Koufos, C,71,20,-2.78,2.83,0.05,2.79
Jon Leuer, PF,75,25.9,-1.43,0.58,-0.85,2.78
Luol Deng, SF,56,26.5,-1.87,1.54,-0.33,2.69
Wilson Chandler, SF,71,30.9,0.3,-1.54,-1.24,2.69
Garrett Temple, SG,65,26.6,-0.14,-0.46,-0.6,2.67
Ty Lawson, PG,69,25.1,0.49,-1.21,-0.72,2.63
Aron Baynes, C,75,15.5,-2.45,2.93,0.48,2.63
Jabari Parker, PF,51,33.9,0.83,-1.61,-0.78,2.59
Joe Johnson, SF,78,23.6,0.79,-1.56,-0.77,2.58
Devin Harris, PG,65,16.7,0.38,0.32,0.7,2.58
Dwyane Wade, SG,60,29.9,-0.45,-0.46,-0.91,2.52
Luke Babbitt, SF,68,15.7,-0.64,1.24,0.6,2.5
James Ennis III, SF,64,23.5,-1.13,1.4,0.27,2.48
Joel Embiid, C,31,25.4,-0.57,2.27,1.7,2.46
Khris Middleton, SG,29,30.7,0.14,1.26,1.4,2.44
Iman Shumpert, SG,76,25.5,-0.98,-0.16,-1.14,2.43
Robin Lopez, C,81,28,-2.07,0.63,-1.44,2.42
Kent Bazemore, SF,73,26.9,-0.69,-0.5,-1.19,2.41
Enes Kanter, C,72,21.3,0.56,-1.24,-0.68,2.4
Willy Hernangomez, C,72,18.4,-0.75,0.4,-0.35,2.37
Kyle O'Quinn, C,79,15.6,-1.28,1.16,-0.12,2.31
Dante Cunningham, PF,66,25,-0.37,-0.56,-0.93,2.29
Spencer Dinwiddie, PG,59,22.6,-0.8,0.31,-0.49,2.29
